Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1.0,2019-10-22,34-104,LAL,@,LAC,L (-10),0,13:21,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,2,6,4.6,-20
2,2.0,2019-10-25,34-107,LAL,,UTA,W (+9),0,5:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5
3,3.0,2019-10-27,34-109,LAL,,CHO,W (+19),0,6:54,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,+4
4,4.0,2019-10-29,34-111,LAL,,MEM,W (+29),0,6:48,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,1.3,+9
5,,2019-11-01,34-114,LAL,@,DAL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2019-11-03,34-116,LAL,@,SAS,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5.0,2019-11-05,34-118,LAL,@,CHI,W (+6),0,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
8,,2019-11-08,34-121,LAL,,MIA,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,6.0,2019-11-10,34-123,LAL,,TOR,L (-9),0,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
10,,2019-11-12,34-125,LAL,@,PHO,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,7.0,2019-11-13,34-126,LAL,,GSW,W (+26),0,22:43,2,3,.667,2,2,1.000,0,0,,0,3,3,4,0,1,1,1,6,7.7,+8
12,8.0,2019-11-15,34-128,LAL,,SAC,W (+2),0,3:38,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-7
13,9.0,2019-11-17,34-130,LAL,,ATL,W (+21),0,2:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
14,,2019-11-19,34-132,LAL,,OKC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2019-11-22,34-135,LAL,@,OKC,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,10.0,2019-11-23,34-136,LAL,@,MEM,W (+1),0,7:17,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.8,-6
17,,2019-11-25,34-138,LAL,@,SAS,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,,2019-11-27,34-140,LAL,@,NOP,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,11.0,2019-11-29,34-142,LAL,,WAS,W (+22),0,13:52,0,1,.000,0,1,.000,2,2,1.000,0,0,0,2,2,0,1,0,2,3.7,-7
20,12.0,2019-12-01,34-144,LAL,,DAL,L (-14),0,3:10,0,0,,0,0,,0,0,,1,0,1,1,1,0,0,0,0,2.4,+5
21,,2019-12-03,34-146,LAL,@,DEN,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,13.0,2019-12-04,34-147,LAL,@,UTA,W (+25),0,4:44,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,3.7,+4
23,14.0,2019-12-06,34-149,LAL,@,POR,W (+23),0,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
24,15.0,2019-12-08,34-151,LAL,,MIN,W (+17),0,2:51,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,0,0,1.3,-2
25,16.0,2019-12-11,34-154,LAL,@,ORL,W (+9),0,21:20,3,5,.600,3,4,.750,0,0,,0,2,2,0,0,0,0,3,9,6.1,+16
26,17.0,2019-12-13,34-156,LAL,@,MIA,W (+3),0,16:35,1,5,.200,1,3,.333,0,0,,0,2,2,3,2,0,0,2,3,3.8,-7
27,18.0,2019-12-15,34-158,LAL,@,ATL,W (+5),0,16:48,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,4,0,-0.6,0
28,19.0,2019-12-17,34-160,LAL,@,IND,L (-3),1,14:41,1,5,.200,1,4,.250,0,0,,0,1,1,2,0,0,0,1,3,1.2,-4
29,20.0,2019-12-19,34-162,LAL,@,MIL,L (-7),0,3:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-4
30,21.0,2019-12-22,34-165,LAL,,DEN,L (-24),0,4:31,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-4
31,,2019-12-25,34-168,LAL,,LAC,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,22.0,2019-12-28,34-171,LAL,@,POR,W (+8),0,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
33,23.0,2019-12-29,34-172,LAL,,DAL,W (+13),0,1:19,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-3
34,,2020-01-01,34-175,LAL,,PHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2020-01-03,34-177,LAL,,NOP,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2020-01-05,34-179,LAL,,DET,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,24.0,2020-01-07,34-181,LAL,,NYK,W (+30),0,4:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
38,25.0,2020-01-10,34-184,LAL,@,DAL,W (+15),0,19:45,2,3,.667,1,2,.500,0,0,,0,4,4,0,0,1,0,5,5,3.6,+6
39,26.0,2020-01-11,34-185,LAL,@,OKC,W (+15),0,9:47,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-8
40,27.0,2020-01-13,34-187,LAL,,CLE,W (+29),0,16:58,2,5,.400,1,4,.250,0,0,,0,2,2,3,0,0,0,4,5,3.4,+9
41,28.0,2020-01-15,34-189,LAL,,ORL,L (-1),0,15:59,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,2,1,3,1.6,-4
42,29.0,2020-01-18,34-192,LAL,@,HOU,W (+9),0,4:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,-1
43,30.0,2020-01-20,34-194,LAL,@,BOS,L (-32),0,4:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4
44,,2020-01-22,34-196,LAL,@,NYK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,31.0,2020-01-23,34-197,LAL,@,BRK,W (+15),0,16:46,3,6,.500,2,3,.667,0,0,,1,4,5,0,2,1,0,0,8,9.6,+12
46,32.0,2020-01-25,34-199,LAL,@,PHI,L (-17),0,7:21,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.9,-2
47,33.0,2020-01-31,34-205,LAL,,POR,L (-8),0,5:53,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,+6
48,34.0,2020-02-01,34-206,LAL,@,SAC,W (+16),0,3:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
49,35.0,2020-02-04,34-209,LAL,,SAS,W (+27),0,3:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
50,,2020-02-06,34-211,LAL,,HOU,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,,2020-02-08,34-213,LAL,@,GSW,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,36.0,2020-02-10,34-215,LAL,,PHO,W (+25),0,4:48,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,1,0,-0.8,+2
53,,2020-02-12,34-217,LAL,@,DEN,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,37.0,2020-02-21,34-226,LAL,,MEM,W (+12),0,2:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
55,,2020-02-23,34-228,LAL,,BOS,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,,2020-02-25,34-230,LAL,,NOP,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,38.0,2020-02-27,34-232,LAL,@,GSW,W (+30),0,6:47,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,0,0,1.6,+1
58,39.0,2020-02-29,34-234,LAL,@,MEM,L (-17),0,3:04,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
59,,2020-03-01,34-235,LAL,@,NOP,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,40.0,2020-03-03,34-237,LAL,,PHI,W (+13),0,1:21,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
61,,2020-03-06,34-240,LAL,,MIL,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,,2020-03-08,34-242,LAL,@,LAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,,2020-03-10,34-244,LAL,,BRK,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,,2020-07-30,35-020,LAL,,LAC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,,2020-08-01,35-022,LAL,@,TOR,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,41.0,2020-08-03,35-024,LAL,@,UTA,W (+8),0,2:53,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
67,42.0,2020-08-05,35-026,LAL,,OKC,L (-19),0,3:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
68,43.0,2020-08-06,35-027,LAL,@,HOU,L (-16),0,11:03,1,1,1.000,0,0,,0,0,,0,2,2,2,0,0,0,1,2,3.3,+3
69,44.0,2020-08-08,35-029,LAL,@,IND,L (-5),0,12:32,1,4,.250,0,3,.000,0,0,,1,1,2,2,2,0,1,1,2,2.6,+15
70,,2020-08-10,35-031,LAL,,DEN,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,45.0,2020-08-13,35-034,LAL,,SAC,L (-14),0,22:42,2,3,.667,2,3,.667,0,0,,0,4,4,5,1,0,1,3,6,8.2,-6
